Luca.,2023-01-13 17:11:04.931457,yes,relax,no,-,no,-,none_food,yes,make_and_listen,-

,2023-01-13 20:59:29.685989,yes,make_and_listen,-,no,-,yes,play,yes,Italian,-
Luca.,2023-01-14 11:48:28.676272,yes,make_and_listen,-,yes,Dutch,-,yes,watch,-,yes,active
Luca.,2023-01-14 11:57:13.248092,yes,play_and_watch,-,yes,listen,-,yes,French,-,yes,active
Picture.,2023-01-14 11:59:23.590282,no,-,none_food,yes,make_and_listen,-,yes,relax,yes,African,-
Luca.,2023-01-14 12:05:19.710518,yes,watch,-,no,-,yes,no,-,none_food,yes,relax
Chica.,2023-01-14 16:20:52.656734,no,-,no,yes,French,-,no,-,yes,none_food,-
My name is Luca.,2023-01-14 16:27:21.649158,yes,relax,yes,watch,-,yes,make_and_listen,-,yes,Dutch,-
,2023-01-14 16:38:25.490528,yes,listen,-,yes,The food that comes from Italy.,-,yes,I like both.,-,yes,active
Luca.,2023-01-14 17:32:16.893223,no,-,yes,make,-,no,-,none_food,yes,watch,-
,2023-01-14 17:34:37.363207,yes,make,-,no,-,Dutch,no,-,watch,yes,relax
Luca.,2023-01-14 17:37:26.201758,yes,play,-,yes,active,yes,make_and_listen,-,yes,Italian,-
Luca.,2023-01-14 17:46:30.821346,yes,active,yes,Italian,-,no,-,none_food,no,-,yes
